date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:10	0/0	------	307	error ('Temporary%20Redirect')	text/html	date:Tue,%2026%20Nov%202024%2014:39:30%20GMT	https://www.markjsmith.com/blog/2021/01/biteriot-caernarvon-cherry-payroll-fun-facts?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/blog/2021/01/biteriot-caernarvon-cherry-payroll-fun-facts.4fc6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	141184/141184	------	200	untouched ('')	font/woff	etag:%2284e615bbaf4155f51191ce71239945b6%22	https://www.markjsmith.com/_hcms/googlefonts/Inter_Tight/700.woff	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Inter_Tight/700.woff	(from https://www.markjsmith.com/en/home)
20:25:10	37843/37843	------	200	untouched ('')	image/png	date:Sat,%2003%20Aug%202024%2001:57:19%20GMT	https://www.markjsmith.com/hs-fs/hubfs/markjsmithcom/240803%20mjs%20logo%20Screenshot%202024-08-03%20at%2011.53.54%20AM.png?width=1197&height=499&name=240803%20mjs%20logo%20Screenshot%202024-08-03%20at%2011.53.54%20AM.png	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hs-fs/hubfs/markjsmithcom/240803%20mjs%20logo%20Screenshot%202024-08-03%20at%2011.53.54%20AM8aa4.png	(from https://www.markjsmith.com/en/home)
20:25:10	35264/35264	------	200	untouched ('')	image/png	date:Sat,%2003%20Aug%202024%2001:57:19%20GMT	https://www.markjsmith.com/hs-fs/hubfs/markjsmithcom/240803%20mjs%20logo%20Screenshot%202024-08-03%20at%2011.54.46%20AM.png?width=1430&height=399&name=240803%20mjs%20logo%20Screenshot%202024-08-03%20at%2011.54.46%20AM.png	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hs-fs/hubfs/markjsmithcom/240803%20mjs%20logo%20Screenshot%202024-08-03%20at%2011.54.46%20AMda06.png	(from https://www.markjsmith.com/en/home)
20:25:10	127140/127140	------	200	untouched ('OK')	text/html	date:Sun,%2024%20Nov%202024%2010:37:36%20GMT	https://www.markjsmith.com/about-markjsmith	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/about-markjsmith.html	(from https://www.markjsmith.com/en/home)
20:25:10	248952/248952	------	200	untouched ('OK')	text/html	date:Tue,%2026%20Nov%202024%2010:18:30%20GMT	https://www.markjsmith.com/blog	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/blog.html	(from https://www.markjsmith.com/en/home)
20:25:10	161711/161711	------	200	untouched ('OK')	text/html	date:Tue,%2026%20Nov%202024%2014:38:59%20GMT	https://www.markjsmith.com/blog/2021/01/biteriot-caernarvon-cherry-payroll-fun-facts	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/blog/2021/01/biteriot-caernarvon-cherry-payroll-fun-facts.html	(from https://www.markjsmith.com/en/home)
20:25:10	158248/158248	------	200	untouched ('OK')	text/html	date:Tue,%2026%20Nov%202024%2014:39:02%20GMT	https://www.markjsmith.com/blog/2020/12/chhota-rajan-downunder-profile	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/blog/2020/12/chhota-rajan-downunder-profile.html	(from https://www.markjsmith.com/en/home)
20:25:10	172501/172501	------	200	untouched ('OK')	text/html	date:Tue,%2026%20Nov%202024%2014:39:04%20GMT	https://www.markjsmith.com/blog/richard-andrew-mirosevich-and-the-single-mum	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/blog/richard-andrew-mirosevich-and-the-single-mum.html	(from https://www.markjsmith.com/en/home)
20:25:10	0/-1	---M--	307	error ('')			https://www.markjsmith.com/blog/2021/01/biteriot-caernarvon-cherry-payroll-fun-facts?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/blog/2021/01/biteriot-caernarvon-cherry-payroll-fun-facts.50c6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	0/0	------	307	error ('Temporary%20Redirect')	text/html	date:Tue,%2026%20Nov%202024%2014:39:32%20GMT	https://www.markjsmith.com/blog/2021/01/meet-the-team-paula-neill?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/blog/2021/01/meet-the-team-paula-neill.51c6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	129145/129145	------	200	untouched ('OK')	text/html	date:Sun,%2024%20Nov%202024%2010:48:56%20GMT	https://www.markjsmith.com/en/contact-us	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/en/contact-us.html	(from https://www.markjsmith.com/en/home)
20:25:10	130353/130353	------	200	untouched ('OK')	text/html	date:Sun,%2024%20Nov%202024%2010:48:57%20GMT	https://www.markjsmith.com/got-a-story	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/got-a-story.html	(from https://www.markjsmith.com/en/home)
20:25:10	3194/3194	------	200	untouched ('')	image/png	etag:%22c5c3be09ddbb157f29d5101107eb8457%22	https://no-cache.hubspot.com/cta/default/4799618/85b7216a-5e34-4c7e-ae8d-4de87c5746f2.png	C:/Mes%20Sites%20Web/mjs2/no-cache.hubspot.com/cta/default/4799618/85b7216a-5e34-4c7e-ae8d-4de87c5746f2.png	(from https://www.markjsmith.com/en/home)
20:25:10	18949/18949	------	200	untouched ('')	application/javascript	etag:W/%2249dc870f22dc7e8bef174360be6097bc%22	https://www.markjsmith.com/hs/cta/cta/current.js	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hs/cta/cta/current.js	(from https://www.markjsmith.com/en/home)
